,Route,To,From,Distance
90,C,182,181,0.009957761445231592
91,C,183,182,0.008853130745665806
92,C,621,183,0.0066300027149328224
93,C,185,621,0.00955285758294828
94,C,186,185,0.006455410443964561
95,C,187,186,0.009712366549906199
96,C,188,187,0.00873348412720164
97,L,601,618,0.0062857480064062235
98,L,602,601,0.006569417934641351
99,L,118,602,0.004999726392517214
100,L,119,118,0.004877586698353411
101,L,120,119,0.028269325018469203
102,L,629,120,0.007350135372900439
103,L,122,629,0.0062422181954894
104,L,123,122,0.0042905722229100475
105,L,124,123,0.004266540636152306
106,L,125,124,0.006888307339268128
107,L,126,125,0.010244109575748082
108,L,127,126,0.005287698932421818
109,L,630,127,0.007921359100557017
110,L,129,630,0.008603542758658003
111,L,130,129,0.006838105585615524
112,L,131,130,0.0060556943449962914
113,L,621,131,0.004452056828024955
114,L,133,621,0.0035139109265916904
115,L,134,133,0.006082381770327169
116,L,135,134,0.005510849027147908
117,L,136,135,0.005471375147065642
118,L,137,136,0.008163921177967182
119,L,138,137,0.004577312093359417
120,S - Franklin,141,627,0.006094931090671474
121,S - Franklin,626,141,0.0047163208118143575
122,S - Rockaway,200,199,0.020475784722444393
123,S - Rockaway,201,200,0.007435147476669409
124,S - Rockaway,202,201,0.007308598018773534
125,S - Rockaway,203,202,0.008357435312355608
126,S - Lexington,610,611,0.007738953159184258
127,2,417,416,0.0060524418212912585
128,2,418,417,0.006040364641310985
129,2,419,418,0.005913092676426439
130,2,420,419,0.004720740725771842
131,2,421,420,0.00704756369251367
132,2,422,421,0.0065571716463760435
133,2,423,422,0.005896997541119757
134,2,424,423,0.008274180865804993
135,2,425,424,0.008406275037129781
136,2,426,425,0.008566873233568943
137,2,427,426,0.006753037983016293
138,2,428,427,0.008252349604806294
139,2,429,428,0.008383447143031082
140,2,430,429,0.006040198755011121
141,2,431,430,0.0041307684515180625
142,2,432,431,0.005663953742746261
143,2,433,432,0.006784128094300091
144,2,434,433,0.009957291850702515
145,2,603,434,0.009251709139408933
146,2,438,603,0.014660813926921272
147,2,439,438,0.00801568774341672
148,2,440,439,0.007003373187255552
149,2,441,440,0.003737022611648584
150,2,310,441,0.021139426127508965
151,2,313,310,0.01822804885333688
152,2,611,313,0.023812815751192484
153,2,318,611,0.006071633470498349
154,2,601,318,0.015525461184778405
155,2,327,601,0.02411653642212307
156,2,624,327,0.0024692820819062883
157,2,628,624,0.004269757018850353
158,2,333,628,0.0036235156961174804
159,2,334,333,0.018546272428713803
160,2,620,334,0.005250976385399965
161,2,336,620,0.005611128674334248
162,2,337,336,0.005118371811433184
163,2,617,337,0.004805730433553765
164,2,339,617,0.0043652633368466
165,2,340,339,0.006907354052019928
166,2,341,340,0.007419686314121229
167,2,626,341,0.006378915346667193
168,2,353,626,0.007956576210917493
169,2,354,353,0.005143711694877588
170,2,355,354,0.006124589782182487
171,2,356,355,0.005842525652488913
172,2,357,356,0.005777930511874003
173,2,358,357,0.005160180713889414
174,2,359,358,0.007172344247176245
175,3,437,436,0.003466310141915622
176,3,438,437,0.007669190896051567
177,3,439,438,0.00801568774341672
178,3,440,439,0.007003373187255552
179,3,441,440,0.003737022611648584
180,3,310,441,0.021139426127508965
181,3,313,310,0.01822804885333688
182,3,611,313,0.023812815751192484
183,3,318,611,0.006071633470498349
184,3,601,318,0.015525461184778405
185,3,327,601,0.02411653642212307
186,3,624,327,0.0024692820819062883
187,3,628,624,0.004269757018850353
188,3,333,628,0.0036235156961174804
189,3,334,333,0.018546272428713803
190,3,620,334,0.005250976385399965
191,3,336,620,0.005611128674334248
192,3,337,336,0.005118371811433184
193,3,617,337,0.004805730433553765
194,3,339,617,0.0043652633368466
195,3,340,339,0.006907354052019928
196,3,341,340,0.007419686314121229
197,3,626,341,0.006378915346667193
198,3,343,626,0.007710346944207396
199,3,344,343,0.008317074545783327
200,3,345,344,0.009232657526399034
201,3,346,345,0.011145520355747767
202,3,347,346,0.007080239049630767
203,3,348,347,0.007461928504074684
204,3,349,348,0.006570400063928919
205,3,350,349,0.007634599138137183
206,3,351,350,0.005559909711495778
207,3,352,351,0.005373793073791268
208,4,379,378,0.008624591874412642
209,4,380,379,0.008332318104815876
210,4,381,380,0.00908279714625492
211,4,382,381,0.006282630738790748
212,4,383,382,0.005236300316066944
213,4,384,383,0.006246610360825941
214,4,385,384,0.006451575699003577
215,4,386,385,0.004972725309120566
216,4,387,386,0.0053523935767198156
217,4,388,387,0.005798131164431322
218,4,604,388,0.00874817752449347
219,4,603,604,0.009738355148580013
220,4,391,603,0.005724753706498255
221,4,392,391,0.01193902931564004
222,4,397,392,0.030516312703219636
223,4,613,397,0.021001429475153273
224,4,610,613,0.013943982967576951
225,4,602,610,0.021545329377848536
226,4,622,602,0.02584527159849382
227,4,628,622,0.006016368755313694
228,4,413,628,0.0036658327839665583
229,4,414,413,0.003515794220379455
230,4,620,414,0.026943681355751828
231,4,337,620,0.010515951930279904
232,4,617,337,0.004805730433553765
233,4,626,617,0.023846940139138708
234,4,345,626,0.02525216715452143
235,5,443,442,0.012371047570846583
236,5,444,443,0.012008980722772818
237,5,445,444,0.013844251731312051
238,5,446,445,0.006908844838322237
239,5,417,446,0.04443829863979382
240,5,418,417,0.006040364641310985
241,5,419,418,0.005913092676426439
242,5,420,419,0.004720740725771842
243,5,421,420,0.00704756369251367
244,5,422,421,0.0065571716463760435
245,5,423,422,0.005896997541119757
246,5,424,423,0.008274180865804993
247,5,425,424,0.008406275037129781
248,5,426,425,0.008566873233568943
249,5,427,426,0.006753037983016293
250,5,428,427,0.008252349604806294
